game_id	game_date	site	team_id	team_name	team_minutes	team_fgm	team_fga	team_three_fgm	team_three_fga	team_ft	team_fta	team_pts	team_offreb	team_defreb	team_totreb	team_ast	team_to	team_stl	team_blk	team_fouls
1953384	03/23/2013	Neutral	740	VCU	200:00	23	58	3	16	4	6	53	7	17	24	6	11	9	2	14
1953384	03/23/2013	Neutral	418	Michigan	200:00	31	60	6	20	10	11	78	12	29	41	17	12	7		7
1415875	12/01/2012	Away	521	Oklahoma St.	200:00	28	66	4	23	11	15	71	10	21	31	13	8	5	5	23
1415875	12/01/2012	Home	742	Virginia Tech	200:00	24	55	6	16	27	33	81	13	28	41	8	12	5	6	16
1415877	12/01/2012	Away	77	BYU	200:00	24	65	4	20	10	17	62	15	22	37	15	18	10	2	17
1415877	12/01/2012	Home	311	Iowa St.	200:00	28	58	7	22	20	25	83	10	30	40	16	15	12	3	13
1553113	01/30/2013	Away	725	Army West Point	200:00	27	61	9	24	17	17	80	16	21	37	16	11	5	2	17
1553113	01/30/2013	Home	285	Holy Cross	200:00	21	49	8	21	16	17	66	8	18	26	15	15	4	9	18
1867503	03/09/2013	Away	352	Lehigh	200:00	22	47	5	16	20	27	69	8	17	25	6	12	6	3	22
1867503	03/09/2013	Home	342	Lafayette	200:00	24	54	6	22	28	30	82	15	20	35	14	12	4	1	19
1457094	12/29/2012	Away	519	Ohio	200:00	25	53	8	26	5	7	63	5	25	30	16	18	5	1	19
1457094	12/29/2012	Home	522	Oklahoma	200:00	27	57	3	12	17	23	74	10	23	33	14	11	12	1	13
1580433	02/07/2013	Away	550	Portland St.	200:00	25	61	3	14	19	24	72	11	23	34	13	7	6	1	20
1580433	02/07/2013	Home	501	Northern Ariz.	200:00	25	51	10	21	19	27	79	6	27	33	20	9	4	3	15
1621492	02/13/2013	Away	725	Army West Point	200:00	30	54	13	24	12	15	85	12	31	43	16	20	3	3	15
1621492	02/13/2013	Home	342	Lafayette	200:00	25	64	9	28	9	13	68	10	15	25	12	8	13	2	15
1635172	02/10/2013	Away	172	Dartmouth	200:00	16	56	4	17	20	26	56	16	24	40	8	18	4	1	19
1635172	02/10/2013	Home	167	Cornell	200:00	29	57	9	20	12	16	79	7	27	34	21	11	15	10	21
1432031	12/08/2012	Neutral	110	UCLA	200:00	26	63	2	11	11	17	65	11	27	38	11	10	9	3	17
1432031	12/08/2012	Neutral	703	Texas	200:00	23	62	4	20	13	20	63	11	30	41	11	11	3	7	15
1590992	02/09/2013	Away	14927	Belmont	200:00	28	60	14	34	8	8	78	9	24	33	17	12	12	2	18
1590992	02/09/2013	Home	43	Austin Peay	200:00	23	50	5	14	14	21	65	8	23	31	13	16	6	5	9
1790472	03/02/2013	Away	465	UNLV	200:00	28	58	10	18	14	16	80	10	26	36	14	9	3	10	15
1790472	03/02/2013	Home	466	Nevada	200:00	25	63	3	15	10	13	63	15	20	35	7	10	3	2	14
